,date,CELG_adjusted_close,CELG_cumulative_return,CELG_value,FB_adjusted_close,FB_cumulative_return,FB_value,GOOG_adjusted_close,GOOG_cumulative_return,GOOG_value,NVDA_adjusted_close,NVDA_cumulative_return,NVDA_value,SPY_adjusted_close,SPY_cumulative_return,SPY_value,portfolio_cumulative_return,portfolio_value
70,2017-01-18,115.22,1.10757,0.886056,127.92,0.993631,0.0,806.07,1.0376,0.0,102.95,1.52881,0.30576200000000003,226.75,1.05084,1.05084,1.191818,1.191818
71,2017-01-19,113.62,1.09219,0.8737520000000001,127.55,0.990757,0.0,802.18,1.03259,0.0,105.16,1.56163,0.31232600000000005,225.91,1.04695,1.04695,1.1860780000000002,1.1860780000000002
72,2017-01-20,112.66,1.08296,0.866368,127.04,0.986795,0.0,805.02,1.03625,0.0,104.01,1.54455,0.30891,226.74,1.05079,1.05079,1.175278,1.175278
73,2017-01-23,112.31,1.07959,0.8636720000000001,128.93,1.00148,0.0,819.31,1.05464,0.0,105.09,1.56059,0.312118,226.15,1.04806,1.04806,1.1757900000000001,1.1757900000000001
74,2017-01-24,112.45,1.08094,0.8647520000000001,129.37,1.00489,0.0,823.87,1.06051,0.0,107.33,1.59385,0.31877,227.6,1.05478,1.05478,1.183522,1.183522
75,2017-01-25,113.98,1.09565,0.8765200000000001,131.48,1.02128,0.0,835.67,1.0757,0.0,107.79,1.60068,0.32013600000000003,229.57,1.06391,1.06391,1.1966560000000002,1.1966560000000002
76,2017-01-26,111.53,1.07209,0.857672,132.78,1.03138,0.0,832.15,1.07117,0.0,109.65,1.6283,0.32566000000000006,229.33,1.0628,1.0628,1.183332,1.183332
77,2017-01-27,113.62,1.09219,0.8737520000000001,132.18,1.02672,0.0,823.31,1.05979,0.0,111.77,1.65979,0.33195800000000003,228.97,1.06113,1.06113,1.20571,1.20571
78,2017-01-30,113.18,1.08796,0.870368,130.98,1.0174,0.0,802.32,1.03277,0.0,110.02,1.6338,0.32676,227.55,1.05455,1.05455,1.197128,1.197128
79,2017-01-31,116.15,1.1165,0.8932000000000001,130.32,1.01227,0.0,796.79,1.02565,0.0,109.18,1.62132,0.32426400000000005,227.53,1.05445,1.05445,1.217464,1.217464
80,2017-02-01,117.41,1.12862,0.902896,133.23,1.03488,0.0,795.7,1.02425,0.0,113.95,1.69216,0.33843200000000007,227.62,1.05487,1.05487,1.2413280000000002,1.2413280000000002
81,2017-02-02,115.54,1.11064,0.8885120000000001,130.84,1.01631,0.0,798.53,1.02789,0.0,115.39,1.71354,0.342708,227.77,1.05557,1.05557,1.23122,1.23122
82,2017-02-03,115.64,1.1116,0.88928,130.98,1.0174,0.0,801.49,1.0317,0.0,114.38,1.69854,0.339708,229.34,1.06284,1.06284,1.228988,1.228988
83,2017-02-06,116.09,1.11593,0.8927440000000001,132.06,1.02579,0.0,801.34,1.03151,0.0,117.31,1.74206,0.348412,228.93,1.06094,1.06094,1.2411560000000001,1.2411560000000001
84,2017-02-07,116.26,1.11756,0.8940480000000002,131.84,1.02408,0.0,806.97,1.03876,0.0,119.13,1.76908,0.353816,228.94,1.06099,1.06099,1.2478640000000003,1.2478640000000003
85,2017-02-08,115.35,1.10881,0.8870480000000001,134.2,1.04241,0.0,808.38,1.04057,0.0,118.61,1.76136,0.35227200000000003,229.24,1.06238,1.06238,1.2393200000000002,1.2393200000000002
86,2017-02-09,116.74,1.12218,0.897744,134.14,1.04194,0.0,809.56,1.04209,0.0,116.38,1.72824,0.345648,230.6,1.06868,1.06868,1.243392,1.243392
87,2017-02-10,115.61,1.11131,0.8890480000000001,134.19,1.04233,0.0,813.67,1.04738,0.0,113.62,1.68726,0.33745200000000003,231.51,1.0729,1.0729,1.2265000000000001,1.2265000000000001
88,2017-02-13,116.42,1.1191,0.8952800000000001,134.05,1.04125,0.0,819.24,1.05455,0.0,108.38,1.60944,0.321888,232.77,1.07874,1.07874,1.217168,1.217168
